,original,class1,class2,class3,,class1,class2,class3,,,,,,,,,,
0,1,1,1,1,,1,1,1,,original,,original,,original,,original,,
1,0,0,0,0,,0,0,0,,0,11,0,24,0,9,0,10,
2,0,0,0,0,,0,0,0,,1,34,1,21,1,36,1,35,
3,1,0,1,1,,3,1,1,,,,,,,,,,
4,1,0,1,1,,3,1,1,,,,,,,,,,
5,1,0,1,1,,3,1,1,,,,,,,,,,
6,1,1,1,1,,1,1,1,,TP,,FP,,,,,,
7,1,1,1,1,,1,1,1,,,,,,,,,,
8,1,1,1,1,,1,1,1,,FN,,TN,,,,,,
9,1,1,1,1,,1,1,1,,,,,,,,,,
10,1,1,1,1,,1,1,1,,,,,,,,,,
11,1,1,1,1,,1,1,1,,class1,,,,,,,,
12,1,1,1,1,,1,1,1,,20,,14,,,Accuracy,0.745762712,,
13,1,1,1,1,,1,1,1,,,,,,,Precision,0.588235294,,
14,1,0,1,1,,3,1,1,,1,,24,,,Recall,0.952380952,,
15,1,0,1,1,,3,1,1,,,,,,,Specificity,0.631578947,F,0.727272727
16,0,0,0,0,,0,0,0,,,,,,,,,,
17,1,0,1,1,,3,1,1,,class2,,,,,,,,
18,0,0,0,0,,0,0,0,,34,,0,,,Accuracy,0.966101695,,
19,1,1,1,1,,1,1,1,,,,,,,Precision,1,,
20,1,0,1,1,,3,1,1,,2,,23,,,Recall,0.944444444,,
21,1,1,1,1,,1,1,1,,,,,,,Specificity,1,F,0.971428571
22,1,1,1,1,,1,1,1,,,,,,,,,,
23,1,0,1,1,,3,1,1,,class3,,,,,,,,
24,1,1,1,1,,1,1,1,,34,,0,,,Accuracy,0.983050847,,
25,1,0,1,1,,3,1,1,,,,,,,Precision,1,,
26,1,0,1,1,,3,1,1,,1,,24,,,Recall,0.971428571,,
27,1,0,1,1,,3,1,1,,,,,,,Specificity,1,F,0.985507246
28,0,0,1,0,,0,2,0,,,,,,,,,,
29,0,1,1,1,,2,2,2,,,,,,,,,,
30,1,1,1,1,,1,1,1,,,,,,,,,,
31,1,1,1,1,,1,1,1,,,,,,,,,,
32,1,0,1,1,,3,1,1,,,,,,,,,,
33,1,1,1,1,,1,1,1,,,,,,,,,,
34,1,0,1,1,,3,1,1,,,,,,,,,,
35,0,0,0,0,,0,0,0,,,,,,,,,,
36,1,1,1,1,,1,1,1,,,,,,,,,,
37,1,1,1,1,,1,1,1,,,,,,,,,,
38,0,0,0,0,,0,0,0,,,,,,,,,,
39,0,0,0,0,,0,0,0,,,,,,,,,,
40,0,0,0,0,,0,0,0,,,,,,,,,,
41,1,1,1,1,,1,1,1,,,,,,,,,,
42,1,1,1,1,,1,1,1,,,,,,,,,,
43,0,0,0,0,,0,0,0,,,,,,,,,,
44,1,0,1,1,,3,1,1,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
,,,,,,0,0,0,,,,,,,,,,
